"Dim1_High_Var","Dim1_High_Val","Dim1_Low_Var","Dim1_Low_Val","Dim2_High_Var","Dim2_High_Val","Dim2_Low_Var","Dim2_Low_Val","Dim3_High_Var","Dim3_High_Val","Dim3_Low_Var","Dim3_Low_Val","Dim4_High_Var","Dim4_High_Val","Dim4_Low_Var","Dim4_Low_Val","Dim5_High_Var","Dim5_High_Val","Dim5_Low_Var","Dim5_Low_Val"
"einfach",2.89949767610762,"aso",-2.86347600504631,"glaub",1.68293065131392,"rien",-1.47541351964076,"gucken",1.72958826110215,"wirds",-0.941387513901003,"kik",1.29281517168766,"haus",-0.612160644797567,"ma",1.32418609007667,"allgemein",-0.519419540166749
"geht",2.82946769489877,"glich",-2.8640055250943,"chan",1.46408708755372,"peut",-1.47561123312901,"guck",1.46834603110572,"dus",-0.958254645968692,"vj",1.26111936755077,"kostenlos",-0.612542700084148,"wählen",1.31764385920414,"hey",-0.520969150023914
"gut",2.82879470883919,"mer",-2.87109452268637,"wenns",1.43785907746618,"plus",-1.47801570764636,"gucke",1.43506344754204,"finds",-0.962189400078575,"frankfurt",1.23331004290367,"gucken",-0.613436650951406,"is",1.27690099124091,"nachts",-0.521783889887043
"weiß",2.77393139957942,"z",-2.87704953593406,"finds",1.43559614283653,"tu",-1.47803304898543,"geguckt",1.40187338483109,"vll",-0.996886120922112,"möppes",1.18860908867839,"mittwoch",-0.613671035295891,"wos",1.21314501428427,"ner",-0.528507727808328
"hast",2.74447887862255,"e",-2.87757429388699,"selber",1.38889888746107,"quand",-1.48147000427863,"werde",1.33584000891352,"glaubst",-1.02542022577483,"bahn",1.15787046757291,"letzten",-0.619411881971843,"jz",1.20650127636673,"bekomm",-0.530496834107536
"würde",2.65226407510839,"ih",-2.88331498720715,"hend",1.37719723370643,"quoi",-1.48335505329342,"glaube",1.30137579312489,"ichs",-1.03633530909549,"lörres",1.12747482794901,"prof",-0.620256569073177,"hätt",1.1801849400562,"dein",-0.531755808643994
"mein",2.63057460830533,"cha",-2.88975650856176,"min",1.36054362052462,"j",-1.48348632343921,"kenne",1.29231899217075,"wärs",-1.04569865047197,"bruder",1.0782683482429,"mathe",-0.627487827508757,"w",1.16523535646639,"bahn",-0.535343825072945
"zeit",2.62532874935857,"heisst",-2.89758389962931,"voll",1.36052699492026,"pour",-1.48352144367981,"direkt",1.19258621119301,"geh",-1.05310146117655,"oj",0.967707645850806,"erfolg",-0.637012767891944,"partei",1.14268432077774,"gegenteil",-0.564037943330503
"meiner",2.5680627993324,"bi",-2.90651569804373,"all",1.35129883097074,"ils",-1.48551216456595,"komme",1.15732474794856,"na",-1.06547683565387,"date",0.891188076191846,"reichen",-0.642709678311319,"a",1.12078995328524,"g20",-0.567228249376447
"sagen",2.54820928752781,"git",-2.90658182243315,"han",1.33052795503034,"on",-1.48561544423208,"guckt",1.15248855101642,"leicht",-1.07455278643466,"lisa",0.871000093093432,"live",-0.643154032345998,"eh",1.11822317209635,"bar",-0.571717152240776
"bist",2.53137694438973,"lebe",-2.94827759199255,"nöd",1.30925559619528,"une",-1.48623124093388,"erstmal",1.14013343632967,"wenns",-1.10480955466928,"grade",0.862678015412483,"buch",-0.644979773164301,"nah",1.08152578247981,"ironie",-0.571963056638679
"gute",2.50016007084458,"bisch",-2.9549964914463,"gern",1.28865571371007,"avec",-1.48649869608018,"fühle",1.13538847376071,"seh",-1.10993814618107,"tinder",0.854816687437877,"termin",-0.649716999213326,"gucken",1.05793379687922,"jemand",-0.573171080095183
"hab",2.4987115719785,"ha",-2.96066457035517,"find",1.28702548554223,"dans",-1.48654334930365,"hause",1.11666316792522,"i",-1.14455457671045,"dein",0.799243803262397,"lernt",-0.653423302494543,"nu",1.03552351665953,"nen",-0.575270946043727
"deine",2.47982698577331,"mache",-2.97170941414719,"frau",1.28358185140727,"pas",-1.49002516553182,"fahre",1.06689681697974,"bekomm",-1.18661841658193,"snapchat",0.790304938171759,"quatsch",-0.655087573806198,"vl",1.0146050302361,"nervig",-0.576771270397537
"leben",2.47100647681326,"go",-2.97281177831365,"alles",1.22014247931852,"par",-1.49052991731718,"denke",1.05994402388793,"ists",-1.22042954419011,"ekelhaft",0.775681101161624,"na",-0.663863499588966,"ka",1.00694768300938,"eben",-0.583252397806658
"leute",2.46922516593319,"hüt",-2.98921803130192,"ichs",1.21718669175752,"un",-1.49153639797697,"frau",1.03646893893757,"nu",-1.22462767026963,"ex",0.771331541062481,"vorm",-0.666499782423028,"geguckt",0.985299333239228,"jhj",-0.584527289261214
"sehen",2.46228498997321,"kei",-2.99324796475164,"geh",1.2097841158711,"mais",-1.49220045766072,"finde",1.03451193107326,"glaub",-1.22702137335901,"dates",0.767586721202363,"fach",-0.670391908160108,"würd",0.954298032822549,"bisher",-0.592699758447538
"keinen",2.44884649830248,"au",-3.00219714361839,"halt",1.20828832547682,"oui",-1.49466376355874,"gehe",1.03305544553952,"jz",-1.26479599564666,"dir",0.765118538459818,"scheinbar",-0.675488846705284,"weils",0.950238384427809,"bims",-0.610905731280132
"nein",2.42451911625151,"ebe",-3.02581937950888,"kei",1.20663422260665,"le",-1.49537990101865,"junge",0.994090785453916,"hab",-1.27057893316633,"mutter",0.760660397857032,"prüfung",-0.6850522645865,"guck",0.920698362634053,"weis",-0.613374607178684
"kannst",2.42245805550951,"gmacht",-3.03147617479874,"na",1.19304337926629,"faire",-1.49759026593022,"zuhause",0.97252175076541,"ka",-1.2772639636975,"daheim",0.753059700569216,"gucke",-0.692592350529454,"gucke",0.905067728224702,"bild",-0.621734371770237
"meinen",2.40869101789637,"weiss",-3.04002715201655,"welt",1.17973745828786,"vous",-1.49834831508685,"freue",0.96957332437702,"kenn",-1.28389485950493,"bild",0.746397888011687,"freitag",-0.696942814500589,"letztens",0.9028499823001,"findet",-0.633719085159954
"wollte",2.38983240233023,"schaffe",-3.04560953116606,"mer",1.17944632577431,"aussi",-1.49921313138237,"brauche",0.948039260717952,"eh",-1.29757770867964,"direkt",0.735255915791204,"donnerstag",-0.700038596730376,"wem",0.892324843884197,"daheim",-0.638993380891175
"kein",2.38493440022375,"mim",-3.0462747472963,"bin",1.16700694556615,"être",-1.50026901709527,"wählen",0.935274509130278,"denk",-1.31150721055201,"bist",0.717118593761312,"prüfungen",-0.701270658596522,"köln",0.890994189637172,"heim",-0.645545240234323
"dein",2.38179976416591,"gseh",-3.05554159638713,"ned",1.16090679362057,"u",-1.50054763347891,"esse",0.931892618265707,"versteh",-1.33559951841411,"vater",0.714001492061842,"fahrrad",-0.709742222730891,"i",0.8861106882407,"übel",-0.648581201973949
"raus",2.38145992097196,"ah",-3.07523557380623,"wen",1.14722429616714,"bien",-1.50126171234758,"afd",0.91978135736544,"anschauen",-1.33706359641835,"hässlich",0.694114996938721,"lohnt",-0.722696053189876,"foto",0.86674651062424,"jmd",-0.649397683828094
"freundin",2.34150933207092,"isch",-3.08923448680397,"grad",1.14222022729612,"non",-1.5012793748956,"stehe",0.916292053940735,"woche",-1.36517934135416,"beziehung",0.693869567339673,"student",-0.723067568117565,"na",0.865836370702785,"ne",-0.656675916498689
"selbst",2.33849803749742,"chli",-3.097264884307,"go",1.086395989585,"qui",-1.50137570589594,"kriege",0.895355318390066,"werd",-1.38570488663337,"dus",0.693851907337305,"einige",-0.727434860651865,"hau",0.840850573693683,"geschaut",-0.658574478386162
"sieht",2.33370333208757,"bim",-3.10426684994989,"dich",1.08271690711899,"même",-1.5024856451978,"kannste",0.888338466300554,"wos",-1.40961638560639,"zeig",0.673684071513972,"festival",-0.730110522982166,"wen",0.830983656152594,"rum",-0.66560262362539
"sowas",2.33306093636146,"no",-3.10904355409224,"stell",1.07055011001647,"que",-1.50345979565436,"liege",0.880914345535823,"net",-1.42364436628432,"hahaha",0.671502531595342,"empfehlen",-0.731987123191458,"gehabt",0.824414361034778,"zimmer",-0.676994788361095
"jeden",2.32153902095914,"lüt",-3.11628015924487,"vlt",1.06625927500242,"à",-1.50361641216133,"sehe",0.879611498493169,"find",-1.49997982742892,"behindert",0.667904412086761,"g20",-0.740057883794437,"m",0.819851625920781,"zwei",-0.696832724590426
"tun",2.31904835481229,"mis",-3.11771282139914,"sicher",1.03752507495513,"tout",-1.50375502264652,"köln",0.879324391957066,"kanns",-1.5192442302623,"kennenlernen",0.667120067096897,"innenstadt",-0.746659986118245,"sei",0.815811314552775,"davor",-0.708411168374692
"drauf",2.31865956395549,"hani",-3.12528790921935,"em",1.03202894215556,"comme",-1.50437425857599,"partei",0.878870749292638,"hätt",-1.52700962320266,"lust",0.666400016922991,"schön",-0.751735261157394,"fotos",0.809994105682546,"prüfungen",-0.716347089844394
"bekommen",2.31741584371487,"hesch",-3.13052113071778,"kenn",1.02062065800161,"y",-1.50516377838037,"wohne",0.874982750248327,"gehts",-1.5298368864985,"kacken",0.66434969492797,"kaufen",-0.759181625099826,"ned",0.808192836953561,"nx",-0.732313951026109
"heute",2.30846303535708,"dini",-3.13645242086853,"alli",1.01895852535341,"trop",-1.50530000602739,"mache",0.871452708460936,"würd",-1.53642176008958,"kennengelernt",0.662385758986848,"letztes",-0.771971455838758,"woche",0.806217727161205,"bisschen",-0.749755685391763
"menschen",2.30597198255098,"scho",-3.16248822253383,"denk",1.01853248842772,"les",-1.50535170791212,"schön",0.853550643987896,"wars",-1.54673523111469,"single",0.656903887362796,"straße",-0.777111948054083,"leid",0.762142716395245,"vorlesung",-0.754603409939592
"sonst",2.30571701527756,"gsi",-3.16702003181079,"recht",1.00721932883853,"juste",-1.50590014864938,"richtig",0.839558054142193,"heim",-1.56007684180612,"dlrh",0.651278492818622,"semester",-0.777486448259753,"monat",0.755469205399621,"eklig",-0.768500017013218
