"Dim1_High_Var","Dim1_High_Val","Dim1_Low_Var","Dim1_Low_Val","Dim2_High_Var","Dim2_High_Val","Dim2_Low_Var","Dim2_Low_Val","Dim3_High_Var","Dim3_High_Val","Dim3_Low_Var","Dim3_Low_Val","Dim4_High_Var","Dim4_High_Val","Dim4_Low_Var","Dim4_Low_Val","Dim5_High_Var","Dim5_High_Val","Dim5_Low_Var","Dim5_Low_Val"
"gucken",2.32629705247012,"denk",-1.12314824043688,"kik",1.39912933034913,"erfolg",-0.669467916653179,"bayern",1.20290090481556,"balkon",-0.520136002594651,"möppes",1.41067678389916,"leisten",-0.515370558913074,"köln",1.10784169940549,"übrigens",-0.466884241644706
"guck",1.94334528553248,"habs",-1.139629753188,"vj",1.3330035811328,"gab",-0.675982346140604,"find",1.1700695059867,"mein",-0.529002398767058,"lörres",1.34373508427952,"bad",-0.515970892531413,"frankfurt",1.05696777356407,"früher",-0.467530766732867
"geguckt",1.93119923021708,"bims",-1.14313593830622,"bin",1.32590510860229,"klausuren",-0.678606678822718,"jetz",1.15042747908678,"hause",-0.530586919955576,"selber",1.22992050510278,"zimmer",-0.518373369901387,"life",0.954575279428369,"bisher",-0.470502904075688
"gucke",1.88771828392925,"au",-1.14355817674174,"bist",1.29290387172279,"berlin",-0.684115933367784,"blöd",1.0211191810523,"fick",-0.530616297847913,"nah",1.1107112895704,"fängt",-0.519851670867859,"bayern",0.899415521560433,"naja",-0.470581034719767
"mache",1.62627291940355,"würd",-1.14464851705914,"frankfurt",1.20303945623991,"wann",-0.689126383478384,"ma",0.993639266259008,"schatz",-0.531896101276287,"justus",1.0765981133536,"gezogen",-0.521181339226535,"fick",0.871206758131628,"feedback",-0.47070787269528
"kenne",1.52663250146919,"wars",-1.14801888688964,"bruder",1.18864769919938,"weiß",-0.692275933535851,"würd",0.974857349606795,"erstmal",-0.538330067652901,"wählen",0.974869463313557,"wtf",-0.521928301346239,"selber",0.83539500007608,"stress",-0.471933174702462
"hause",1.51245919124966,"s",-1.15695476929473,"haha",1.18675063992074,"vorm",-0.696810432310054,"kerl",0.973553471970787,"00",-0.539732755016563,"l",0.953767461459508,"ewig",-0.522528570918765,"jetz",0.822643912869776,"solltest",-0.475448646338163
"wählen",1.47877427510759,"münchen",-1.16677274982314,"hahaha",1.15962430334233,"lernt",-0.697645144466471,"nix",0.966437598341785,"bald",-0.54001203062464,"partei",0.892456315109916,"fehlt",-0.525032149514474,"wählen",0.76773263463247,"verstehen",-0.47727654338512
"komme",1.43470784277182,"davor",-1.17697357933323,"bahn",1.12220934982181,"letzten",-0.701041734133629,"münchen",0.944354141134136,"euren",-0.541424391132577,"au",0.772944016182953,"feier",-0.52562879811698,"münchen",0.743397222225037,"überlegen",-0.479714618048284
"glaube",1.38548630369387,"seh",-1.19138960211278,"direkt",1.09591978541021,"einige",-0.707041530330812,"echt",0.941446978431818,"snapchat",-0.542949133936825,"nx",0.76229701391268,"dame",-0.52615501770106,"scho",0.724523631699281,"downvotes",-0.481213656532858
"zuhause",1.37862873238247,"nx",-1.20245674712513,"dein",1.09167152215718,"nu",-0.709057107720426,"ned",0.905001352727701,"grüße",-0.544133375490113,"afd",0.735817587978042,"komme",-0.527353122652361,"mädel",0.713864570329323,"soweit",-0.482359481762354
"gehabt",1.34439260217723,"versteh",-1.20877380428105,"snapchat",1.06309956835422,"lösung",-0.71327945277333,"scho",0.884211096946789,"suche",-0.545488063842082,"ne",0.730403337850666,"xd",-0.53532142094866,"freue",0.655978443114254,"schmerzen",-0.484108759824424
"guckt",1.34102975845151,"werd",-1.22871348123817,"dich",1.05403579053135,"kostenlos",-0.728410874136508,"m",0.87520359533939,"nervig",-0.547163165443564,"d",0.692672744445165,"heute",-0.541080113098456,"et",0.642487176157266,"system",-0.489789455134816
"direkt",1.33978953075635,"nich",-1.23999827086426,"grade",1.03289336975185,"donnerstag",-0.729280045305262,"is",0.867401818275888,"kennt",-0.552459818032127,"bisch",0.673738142560275,"männern",-0.541149872942558,"va",0.637816526261264,"hübsch",-0.493348820518191
"partei",1.29957508058022,"bisch",-1.24575698544353,"tinder",1.03210571009724,"live",-0.730191906826159,"w",0.835238799312792,"voller",-0.558336522730971,"tun",0.672852795821928,"dates",-0.541359553322054,"hör",0.632253399402975,"kalt",-0.495401384134981
"sehe",1.25079614898777,"find",-1.2529214538499,"dir",1.03198479097514,"prof",-0.736506095665562,"sau",0.808737025362717,"aufm",-0.564062705361562,"richtigen",0.655876054594997,"flasche",-0.541488324007906,"a",0.629940951736484,"unnötig",-0.496807421310697
"gehe",1.23657849583891,"weils",-1.26277956051783,"beziehung",1.00438449624399,"fach",-0.740804801810487,"zb",0.802012421794391,"stellt",-0.566292247633495,"typ",0.649190860277728,"spricht",-0.542746630050887,"jungs",0.627155600791306,"verstanden",-0.497487445460466
"nah",1.20967653572346,"bayern",-1.26433289363532,"mein",0.983997241396379,"na",-0.742706001793615,"freundinnen",0.79832644918179,"steht",-0.569281021681158,"lehrer",0.64421957982021,"kuchen",-0.549187876490794,"zahl",0.600647709465338,"oben",-0.503452408821157
"kannste",1.18226295531128,"isch",-1.27236437450969,"oj",0.982559097781751,"dr",-0.744707978392021,"gesagt",0.782856030034724,"berlin",-0.574694641452432,"sowas",0.63893478971028,"4",-0.558085844967013,"ned",0.600436896513796,"3wochen",-0.505424672612184
"erstmal",1.17278011248885,"scho",-1.28071188469848,"date",0.978958307550946,"freitag",-0.747734718231873,"geholfen",0.746000639558816,"rauchen",-0.576678032605781,"mama",0.632875276902055,"ecke",-0.562437311326667,"pro",0.594866722668732,"bisch",-0.506639305551313
"werde",1.17177629304392,"nem",-1.28620625166279,"mutter",0.949463263025714,"mitbewohner",-0.748534541301183,"vo",0.735954707022979,"liege",-0.5811760504446,"woanders",0.631127142142449,"geiler",-0.568212688684626,"ficken",0.588246587513421,"tatsächlich",-0.506959016046165
"afd",1.13037694343162,"kanns",-1.29993407176181,"ex",0.938244763645175,"prüfung",-0.779463441359844,"wählen",0.7318933336186,"schönes",-0.588555480260846,"boden",0.629715089000127,"selbstbewusstsein",-0.577196916784191,"mann",0.585963441395622,"funktioniert",-0.511399438922209
"köln",1.11478034240848,"nehm",-1.32344130353184,"möppes",0.933708188255632,"letztes",-0.788485421305476,"dauert",0.730321045717448,"liebe",-0.590050586538095,"köln",0.615540517309353,"200",-0.58422554418738,"habs",0.576003358933934,"häufig",-0.519309376041402
"stehe",1.11257641547352,"gibts",-1.34582106125788,"lörres",0.928656546404533,"innenstadt",-0.803462382652136,"bissl",0.730157539146838,"schwester",-0.593957901512689,"hinterher",0.614689440545954,"gemüse",-0.592252101618368,"nen",0.565086130652725,"trennung",-0.520027151440805
"vielleicht",1.10477444514085,"bekomm",-1.35203518958832,"freund",0.903052270751264,"student",-0.803639080617576,"partei",0.729469992844776,"regen",-0.598559219174158,"gucken",0.611665862098802,"daheim",-0.596966794776352,"lisa",0.561765481632213,"soo",-0.52026600270782
"fühle",1.09157635961938,"kumpel",-1.35983924491432,"hast",0.898994079651103,"lohnt",-0.804019731738615,"sport",0.723903722545132,"morgens",-0.604069683276959,"glaub",0.603598791149007,"w21",-0.606255879250965,"letztens",0.558194084793677,"darum",-0.52973970753621
"sage",1.08288407372784,"lörres",-1.37978802849032,"sag",0.878282827707754,"festival",-0.810116098445797,"fand",0.722649150933185,"besuch",-0.605563421970208,"find",0.60162495428572,"ab",-0.606859454818759,"bruder",0.555151226180523,"dinge",-0.52988237451224
"brauche",1.07770548558896,"net",-1.40548679793677,"scheiss",0.873508194036961,"internet",-0.81541702495377,"va",0.721655676645251,"gebe",-0.607435743970855,"oben",0.601391713121106,"6",-0.626483840946967,"with",0.552291991056675,"pille",-0.530434280614437
"fahre",1.06125937785029,"ner",-1.41683598669321,"alt",0.870165270728911,"prüfungen",-0.827589797481813,"freund",0.714520773673231,"frankfurt",-0.609275756191725,"guckt",0.577264454709788,"allein",-0.649261269307102,"linke",0.544500188753098,"findet",-0.531941700548007
